processes,N,execution_s,computation_s,communication_s
25,7200,0.0251185838,0.0001400979,0.0249784850
25,7200,0.0030741212,0.0001471420,0.0029269792
25,7200,0.0103119453,0.0001360457,0.0101758996
25,7200,0.0074963281,0.0001382100,0.0073581180
25,7200,0.0264430009,0.0001121570,0.0263308436
25,7200,0.0132982619,0.0001485227,0.0131497392
25,7200,0.0014766320,0.0001495380,0.0013270939
25,7200,0.0263249874,0.0001161660,0.0262088217
25,7200,0.0148450006,0.0001541481,0.0146908527
25,7200,0.0230622049,0.0001542020,0.0229080021
25,7200,0.0009817680,0.0001555700,0.0008261980
25,7200,0.0213893149,0.0001233248,0.0212659910
25,7200,0.0131560201,0.0001594990,0.0129965208
25,7200,0.0006992020,0.0001457050,0.0005534970
25,7200,0.0067560473,0.0001387866,0.0066172606
25,7200,0.0257065184,0.0001314459,0.0255750716
25,7200,0.0386894085,0.0001389422,0.0385504663
25,7200,0.0245909281,0.0001450581,0.0244458690
25,7200,0.0060348809,0.0001404975,0.0058943834
25,10800,0.0117580136,0.0002117009,0.0115463128
25,10800,0.0019898780,0.0002150270,0.0017748510
25,10800,0.0329166278,0.0002273230,0.0326893032
25,10800,0.0015382561,0.0002454660,0.0012927901
25,10800,0.0125039332,0.0001662120,0.0123377210
25,10800,0.0141438385,0.0002330019,0.0139108365
25,10800,0.0018022951,0.0002003680,0.0016019271
25,10800,0.0007562300,0.0002085480,0.0005476819
25,10800,0.0124080572,0.0002403045,0.0121677527
25,10800,0.0126481457,0.0002172021,0.0124309435
25,10800,0.0135192899,0.0002469130,0.0132723767
25,10800,0.0013767990,0.0002456750,0.0011311240
25,10800,0.0015586799,0.0002378591,0.0013208208
25,10800,0.0007646360,0.0002420500,0.0005225860
25,10800,0.0139575535,0.0002420770,0.0137154767
25,10800,0.0009897731,0.0002076300,0.0007821431
25,10800,0.0262341481,0.0002301150,0.0260040332
25,10800,0.0258194190,0.0002325770,0.0255868416
25,10800,0.0132032074,0.0001808360,0.0130223716
25,10800,0.0007348271,0.0001713240,0.0005635031
25,14400,0.0120689524,0.0003160590,0.0117528932
25,14400,0.0253975522,0.0002377930,0.0251597594
25,14400,0.0008873240,0.0003272730,0.0005600511
25,14400,0.0046046423,0.0003129010,0.0042917412
25,14400,0.0263640806,0.0003196339,0.0260444470
25,14400,0.0352506526,0.0002868725,0.0349637792
25,14400,0.0034998010,0.0002384139,0.0032613871
25,14400,0.0087890672,0.0003109340,0.0084781330
25,14400,0.0263225064,0.0002856180,0.0260368884
25,14400,0.0255282577,0.0002741450,0.0252541117
25,14400,0.0255638789,0.0003065392,0.0252573397
25,14400,0.0131288301,0.0003470240,0.0127818063
25,14400,0.0257278513,0.0002952049,0.0254326463
25,14400,0.0130286273,0.0003369250,0.0126917027
25,14400,0.0261537172,0.0003104940,0.0258432236
25,14400,0.0044812607,0.0002211360,0.0042601246
25,14400,0.0010246041,0.0003325010,0.0006921031
25,14400,0.0254803915,0.0003148540,0.0251655374
25,14400,0.0013622539,0.0002996130,0.0010626409
25,14400,0.0037419479,0.0003170631,0.0034248848
25,18000,0.0074167862,0.0003889790,0.0070278072
25,18000,0.0140378475,0.0003552660,0.0136825815
25,18000,0.0098527661,0.0004229611,0.0094298050
